"","country","country_long","name","gppd_idnr","capacity_mw","latitude","longitude","primary_fuel","other_fuel1","other_fuel2","other_fuel3","commissioning_year","owner","source","url","geolocation_source","wepp_id","year_of_capacity_data","generation_gwh_2013","generation_gwh_2014","generation_gwh_2015","generation_gwh_2016","generation_gwh_2017","generation_gwh_2018","generation_gwh_2019","generation_data_source","estimated_generation_gwh_2013","estimated_generation_gwh_2014","estimated_generation_gwh_2015","estimated_generation_gwh_2016","estimated_generation_gwh_2017","estimated_generation_note_2013","estimated_generation_note_2014","estimated_generation_note_2015","estimated_generation_note_2016","estimated_generation_note_2017"
"93","ARG","Argentina","AGUA DEL CAJON (AUTOGENERADOR DEL MEM)","ARG0000231",479.2,-38.9368,-68.3556,"Other","Gas","","",1997.4,"CAPEX SA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1011582",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,0,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"94","ARG","Argentina","AGUA DEL CAJON (GENERADOR DEL MEM)","ARG0000232",192,-38.9368,-68.3556,"Gas","","","",1993.5,"CAPEX SA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1011582",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1075.39,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"95","ARG","Argentina","AGUA DEL TORO","ARG0000210",130,-34.5792,-68.9892,"Hydro","","","",1982,"HIDISA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1018417",2015,NA,NA,NA,NA,NA,NA,NA,"",288.58,330.11,413.29,415.17,289.92,"HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1"
"96","ARG","Argentina","ALICURA","ARG0000230",1050,-40.58,-70.7489,"Hydro","","","",1987,"AES ARGENTINA GENERACION S.A.","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1018418",2015,NA,NA,NA,NA,NA,NA,NA,"",2896.84,3621.29,3575.78,3416.89,2896.84,"HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1"
"97","ARG","Argentina","ALMIRANTE BROWN","ARG0000156",25,-34.8386,-58.4033,"Oil","","","",NA,"C.T. ALMIRANTE BROWN SA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1048750",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,113.26,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"98","ARG","Argentina","ALTO VALLE","ARG0000235",97.5,-38.9524,-68.0218,"Gas","Other","","",1969,"CT ALTO VALLE SA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1013744",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,546.09,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"99","ARG","Argentina","ALUMINE","ARG0000242",1.904,-39.2145,-70.9157,"Oil","Hydro","","",NA,"EPEN","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1086547",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,8.62,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"100","ARG","Argentina","ALVAREZ CONDARCO","ARG0000194",50.7,-33.0452,-69.0516,"Hydro","","","",2003,"CEMPPSA - HIDROCUYO SA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1009855",2015,NA,NA,NA,NA,NA,NA,NA,"",141.57,150.75,188.01,190.95,163.07,"HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1"
"101","ARG","Argentina","ARROYITO","ARG0000254",128,-39.1009,-68.5982,"Hydro","","","",1977,"H. EL CHOCON SA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1018412",2015,NA,NA,NA,NA,NA,NA,NA,"",413.34,406.43,496.11,479.69,413.34,"HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1"
"102","ARG","Argentina","ATUCHA I","ARG0000029",370,-33.967,-59.2059,"Nuclear","","","",1974,"NASA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1013180",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1303.91,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
