"","longitude","latitude","elevation","min_dist","min_dist_idx"
"1",-47.4997444152832,-21.5428733825684,730,1868.82504905919,115
"2",-47.4990997314453,-23.8851432800293,906,1674.43583650944,6
"3",-47.4988861083984,-22.4276714324951,669,1867.50730542597,74
"4",-47.4987258911133,-19.5121364593506,930,1633.98852572459,209
"5",-47.497745513916,-23.5204811096191,618,1551.90688848301,23
"6",-47.4976959228516,-22.7917728424072,562,1658.09555752178,57
"7",-47.4972496032715,-23.1560153961182,546,1543.07020535714,40
"8",-47.4968452453613,-20.8653106689453,887,1497.40832180032,146
"9",-47.4967384338379,-19.3554973602295,1021,1567.71646972983,216
"10",-47.4965667724609,-20.1884002685547,826,1705.16875269068,178
"11",-47.4965553283691,-21.9065246582031,603,1466.57213269043,98
"12",-47.4959030151367,-21.3856983184814,611,1342.38376319463,122
"13",-47.4949226379395,-19.1988430023193,928,1654.1105748031,224
"14",-47.4942207336426,-22.2703304290771,704,1176.92846007189,81
"15",-47.4940719604492,-20.0316181182861,694,1188.63410891056,185
"16",-47.4936904907227,-20.7083415985107,715,1565.87181063447,153
"17",-47.4932174682617,-19.0422554016113,920,1154.66339860615,231
"18",-47.4926681518555,-23.7274055480957,895,1224.90697180139,13
"19",-47.4925155639648,-22.6343078613281,563,996.741799556033,64
"20",-47.4924049377441,-21.7492713928223,606,1029.86431279293,105
"21",-47.4922981262207,-21.2286167144775,550,1213.08102035555,129
"22",-47.4917335510254,-23.3628387451172,604,1048.74498287889,30
"23",-47.4917182922363,-22.9984931945801,531,963.432345928379,47
"24",-47.4916458129883,-19.8748168945312,857,978.803756319048,192
"25",-47.4895973205566,-22.1129951477051,668,905.290859513546,88
"26",-47.4894409179688,-19.7180728912354,1018,1242.69592202445,199
"27",-47.4884300231934,-21.5920352935791,643,1180.26102787698,112
"28",-47.4875946044922,-22.4768848419189,674,967.310424202299,71
"29",-47.4873847961426,-19.5613822937012,920,831.432584314341,207
"30",-47.486442565918,-23.5696887969971,628,994.247023129261,21
"31",-47.4863815307617,-22.8409786224365,625,1125.84485163666,54
"32",-47.4859809875488,-23.2052307128906,535,1158.22557914084,38
"33",-47.4854774475098,-20.9145050048828,894,375.859325057961,144
"34",-47.4853782653809,-19.4047183990479,1042,256.489868784404,214
"35",-47.4852409362793,-21.9557323455811,632,1112.39237458214,96
"36",-47.4846038818359,-21.4349269866943,634,678.196297449738,120
"37",-47.4835624694824,-19.2480640411377,1012,620.502655684837,221
"38",-47.4829368591309,-22.3195247650146,660,823.324703020712,79
"39",-47.4823799133301,-20.7575454711914,693,424.024220989045,151
"40",-47.4813652038574,-23.7765808105469,967,162.21978603545,11
"41",-47.4812545776367,-22.6834983825684,551,605.6132431217,62
"42",-47.4810981750488,-21.7984466552734,573,408.507281618103,103
"43",-47.4809951782227,-21.2778263092041,540,205.045530909241,127
"44",-47.4804458618164,-23.0476913452148,547,443.535723958336,45
"45",-47.4804420471191,-23.4120349884033,576,302.575925813831,28
"46",-47.4803123474121,-19.9240264892578,689,404.465287746879,190
"47",-47.478271484375,-22.1621990203857,678,490.283183259244,86
"48",-47.4781074523926,-19.7673149108887,976,613.895868187109,197
"49",-47.4774742126465,-21.1207504272461,649,936.889106371513,134
"50",-47.4771118164062,-21.6412734985352,696,695.005287186638,110
"51",-47.4765892028809,-23.9835338592529,767,1158.9854868594,1
"52",-47.4765434265137,-20.4437408447266,931,898.926233365399,166
"53",-47.4762916564941,-22.5261039733887,728,703.148765111164,69
"54",-47.4751625061035,-23.618860244751,715,1126.89927952398,18
"55",-47.4750747680664,-22.890172958374,625,899.435350923667,52
"56",-47.4747276306152,-23.2544345855713,551,1037.5265118364,35
"57",-47.4742317199707,-20.9637336730957,882,1308.51130290236,142
"58",-47.4739532470703,-22.0049343109131,686,1119.4253493601,93
"59",-47.4739456176758,-20.2868690490723,962,930.747702679854,173
"60",-47.4715728759766,-22.3687114715576,660,1379.99099809688,308
"61",-47.4705581665039,-19.1407489776611,807,1109.15812288634,458
"62",-47.470100402832,-23.8257751464844,996,1117.59164987203,241
"63",-47.4699745178223,-22.7326965332031,539,1439.59890486752,291
"64",-47.4697914123535,-21.8476505279541,572,1357.84691198918,333
"65",-47.4691734313965,-23.4612255096436,582,1163.51195202864,258
